task,n_steps,eligible_immediate_pairs,all_history_exposures,result_status,score,length_stratum,task_stratum,task_goal,traj_path,traj_sha256
AcceptMeetingTask,7,6,21,success,1.0,short_02_15,success__short_02_15,Reply to Daniel's most recent email to tell him: 'I'll be there at 10:00 AM on Thursday.',/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AcceptMeetingTask/traj.json,3e5de577890226281a6ec1ec1260e3fcd89d5f41900e8080d0e503db7e915690
AdjustBrightnessMaximumTask,4,3,6,failure,0.0,short_02_15,failure__short_02_15,Set the brightness to the maximum level.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMaximumTask/traj.json,c1a5b42424105c12e0face83bbb517a4626f0725ea35e9c111d957cbd6fefa5b
AdjustBrightnessMinimumTask,7,6,21,success,1.0,short_02_15,success__short_02_15,Set the brightness to the minimum level.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMinimumTask/traj.json,4ca8d50e1e5fa71d55d8f68b825805c0217e8a23ada97c3250de54c52ee01698
AdjustFontIconMaximumTask,8,7,28,success,1.0,short_02_15,success__short_02_15,Increase the font size and icons on your phone to the maximum setting.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMaximumTask/traj.json,01b23f10eae8f061131ba00061d68232fd4d12cdc704f210b96f8a0766447464
AdjustFontIconMinimumTask,11,10,55,success,1.0,short_02_15,success__short_02_15,Decrease the font size and icons on your phone to the minimum setting.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMinimumTask/traj.json,f6e345eda1b2046e9cdff988cefe1630a9545f93528bd7e7d55ee8b71ffbd46b
BidFileRenameTask,33,32,528,failure,0.0,medium_16_34,failure__medium_16_34,"将Download中前缀为bid_的文件, 按创建日期由早到晚，统一按照'bid_{序号}.{原扩展名}'进行重命名。",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/BidFileRenameTask/traj.json,a5366c862d7567236fa57e5dbe15f08f8ccbf32c8a7f0521d8b98e736f2b3ef1
CVEmailTask,10,9,45,failure,0.0,short_02_15,failure__short_02_15,在Download内找到最近一个月下载的简历文件，把文件发送给HR_chen@gmail.com，标题为candidates_cv。,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CVEmailTask/traj.json,f54a1967e6fcb0c2c0562db70ae66fdb192ccae454be85398f2cbfe9e19c129d
CancelMeetingTask,7,6,21,success,1.0,short_02_15,success__short_02_15,Could you reply to Daniel's most recent email to tell him I'll have to cancel the meeting on Thursday?,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CancelMeetingTask/traj.json,20894957c96859a12c46bea57fc7e1e9525871dc34a88353fb947c6db623664d
CartInfoNotificationTask,20,19,190,failure,0.0,medium_16_34,failure__medium_16_34,"Find the items awaiting shipment in TaoDian and send an SMS reminder to the recipient, including the product name and order number, with no other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartInfoNotificationTask/traj.json,c820c476532b7b61e815467104371c166ac848a51490551484e68a14b12f42c2
CartManagementTask,27,26,351,success,1.0,medium_16_34,success__medium_16_34,最近天气变冷了，请帮我从淘店app的购物车中删除所有短袖T恤衬衫。如果需要登录，可以通过短信验证码登录。,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartManagementTask/traj.json,89db773bda007389c4af69e4210d00d2641e1b268b7ffcf934bb30a76c1cc2b4
