task,n_steps,score,result_status,task_goal,candidate_rows,FAILED_TRANSITION_ACK,LATER_FAILURE_ACK,LATER_SELF_CORRECTION,LOOP_LANGUAGE,NEAR_DUPLICATE_REASONING,REPEATED_ACTION,SELF_CORRECTION_EVIDENCE,STATIC_REPEATED_ACTION,UNSUCCESSFUL_TERMINAL_COMPLETION,traj_path,result_path
AcceptMeetingTask,7,1.0,success,Reply to Daniel's most recent email to tell him: 'I'll be there at 10:00 AM on Thursday.',0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AcceptMeetingTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AcceptMeetingTask/result.txt
AdjustBrightnessMaximumTask,4,0.0,failure,Set the brightness to the maximum level.,1,,,,,,,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMaximumTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMaximumTask/result.txt
AdjustBrightnessMinimumTask,7,1.0,success,Set the brightness to the minimum level.,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMinimumTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustBrightnessMinimumTask/result.txt
AdjustFontIconMaximumTask,8,1.0,success,Increase the font size and icons on your phone to the maximum setting.,2,1,1,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMaximumTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMaximumTask/result.txt
AdjustFontIconMinimumTask,11,1.0,success,Decrease the font size and icons on your phone to the minimum setting.,4,2,1,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMinimumTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/AdjustFontIconMinimumTask/result.txt
BidFileRenameTask,33,0.0,failure,"将Download中前缀为bid_的文件, 按创建日期由早到晚，统一按照'bid_{序号}.{原扩展名}'进行重命名。",7,,,,,,6,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/BidFileRenameTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/BidFileRenameTask/result.txt
CVEmailTask,10,0.0,failure,在Download内找到最近一个月下载的简历文件，把文件发送给HR_chen@gmail.com，标题为candidates_cv。,1,,,,,,,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CVEmailTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CVEmailTask/result.txt
CancelMeetingTask,7,1.0,success,Could you reply to Daniel's most recent email to tell him I'll have to cancel the meeting on Thursday?,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CancelMeetingTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CancelMeetingTask/result.txt
CartInfoNotificationTask,20,0.0,failure,"Find the items awaiting shipment in TaoDian and send an SMS reminder to the recipient, including the product name and order number, with no other text.",2,,,,,,1,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartInfoNotificationTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartInfoNotificationTask/result.txt
CartManagementTask,27,1.0,success,最近天气变冷了，请帮我从淘店app的购物车中删除所有短袖T恤衬衫。如果需要登录，可以通过短信验证码登录。,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartManagementTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CartManagementTask/result.txt
ChangeWallpaperTask,8,1.0,success,Change the wallpaper to a photo from the album that features sunflowers.,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChangeWallpaperTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChangeWallpaperTask/result.txt
CheckCartPriceTask,45,0.0,failure,"Find the three most expensive items in the TaoDian app shopping cart and calculate their total price. Respond only with an integer representing the total price, with no other text.",18,,,6,,,9,6,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckCartPriceTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckCartPriceTask/result.txt
CheckConferenceAndSendSmsTask1,12,0.0,failure,"Check my calendar and send an SMS notification to Mia with the dates of my arrival and departure from Paris. The message should contain only the two dates in MM/DD/YYYY format, separated by a comma.",3,,,1,,,,1,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask1/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask1/result.txt
